Metric,Analysis,Test_Type,p_value,Effect_Size,Significance,Good_Metric_N,Good_Metric_MOCA_Mean,Good_Metric_MOCA_Std,Bad_Metric_N,Bad_Metric_MOCA_Mean,Bad_Metric_MOCA_Std,Good_Normal,Bad_Normal,Good_MOCA_N,Good_MOCA_Metric_Mean,Good_MOCA_Metric_Std,Bad_MOCA_N,Bad_MOCA_Metric_Mean,Bad_MOCA_Metric_Std
AutoregulationTimeConstant_Endothelial,MOCA_to_Metric,Mann-Whitney,0.08021082701610782,0.28013845843959156,ns,,,,,,,False,False,32.0,18.125,7.803018439949604,7.0,12.857142857142858,7.559289460184545
BilateralEfficiency_Endothelial,MOCA_to_Metric,t-test,0.2734132671223978,0.4218580505900928,ns,,,,,,,True,True,49.0,0.4288302837104145,0.2409266480475375,8.0,0.3254482803648182,0.2717390843460677
COx_CI_Lower_Endothelial,MOCA_to_Metric,t-test,0.8432711369756656,0.07574902875511275,ns,,,,,,,True,True,49.0,-0.21924658329601301,0.2957446409855123,8.0,-0.24278831276105012,0.3989303620322236
COx_CI_Upper_Endothelial,MOCA_to_Metric,t-test,0.7159790928469363,0.13945676713211144,ns,,,,,,,True,True,49.0,0.25484947065487334,0.29466241872977667,8.0,0.2978380708281466,0.38888191072683354
COx_Stability_Endothelial,MOCA_to_Metric,Mann-Whitney,0.6157634582103849,0.0689362697157772,ns,,,,,,,False,False,46.0,0.6563736668262345,0.4136964196540129,7.0,0.6717399355081742,0.5545315289801803
CardiacCerebralCoupling_Endothelial,MOCA_to_Metric,Mann-Whitney,0.42564031395867075,0.12441959543267449,ns,,,,,,,False,False,36.0,26.475241257425353,63.54997886578345,5.0,7.504491529244008,10.905222405598916
COx_SingleHemisphere_Endothelial,MOCA_to_Metric,Mann-Whitney,0.22368304843683076,0.1611681476162248,ns,,,,,,,False,True,49.0,0.19338091221661477,0.4162075180244159,8.0,-0.007946259978271308,0.47462251076286815
COx_Window_SE_rSO2_Endothelial,MOCA_to_Metric,Mann-Whitney,0.38344358992060384,0.11544212413493246,ns,,,,,,,False,True,49.0,0.04203497925313938,0.29996972109738956,8.0,-0.1047294682537025,0.30857318235837655
XCorr_MaxCorr_Endothelial,MOCA_to_Metric,Mann-Whitney,0.17496352595832704,0.17966307078172503,ns,,,,,,,False,True,49.0,0.357617388043799,0.1753271014344971,8.0,0.44862370115670436,0.19419106263542352
XCorr_OptimalLag_Endothelial,MOCA_to_Metric,Mann-Whitney,0.32279936795815445,0.13095937614075895,ns,,,,,,,True,False,49.0,0.0,23.54074481970922,8.0,8.75,18.850918886280922
XCorr_Asymmetry_Endothelial,MOCA_to_Metric,t-test,0.3824748660331968,0.33571692174615264,ns,,,,,,,True,True,49.0,-0.0004046140025078189,0.08106632841419699,8.0,0.027585940431547978,0.09775097180017618
XCorr_Width_Endothelial,MOCA_to_Metric,t-test,0.2766768956252474,0.41896837531500064,ns,,,,,,,True,True,49.0,77.14285714285714,29.720924166878344,8.0,65.0,23.299294900428702
CVRI,MOCA_to_Metric,Mann-Whitney,0.9910123869116801,0.0014920248731798977,ns,,,,,,,False,True,49.0,0.8147644444866852,0.1999568299882379,8.0,0.8610378764302181,0.0841292828108749
SE_alpha,MOCA_to_Metric,t-test,0.11972429291866385,0.6026871732004508,ns,,,,,,,True,True,49.0,0.6795688223725411,0.19770303602039135,8.0,0.8112715331741581,0.3273907476279819
rSO2_alpha,MOCA_to_Metric,Mann-Whitney,0.8304800981849877,0.02835636556858247,ns,,,,,,,False,True,49.0,1.0591285713159837,0.27191811785703784,8.0,1.0199254720757427,0.3272392487745641
cross_DFA,MOCA_to_Metric,Mann-Whitney,0.8304800981849877,0.02835636556858247,ns,,,,,,,False,True,49.0,0.8693486968442619,0.17183643146734548,8.0,0.9155985026249505,0.289448224034111
VasomotionStrength_SE,MOCA_to_Metric,Mann-Whitney,0.8129387409392085,0.03134328042898723,ns,,,,,,,False,True,49.0,2.291752789060736,1.1776278226911225,8.0,2.281496683892242,1.3108474827716223
VasomotionStrength_rSO2,MOCA_to_Metric,Mann-Whitney,0.016419160971997002,0.31781657364848764,*,,,,,,,False,True,49.0,0.8703657371891524,0.5479234743421413,8.0,1.4399339976534304,0.662936921497335
VasomotionCoupling,MOCA_to_Metric,t-test,0.45126637940655345,0.28931380733663553,ns,,,,,,,True,True,49.0,0.03854581644227951,0.2632381519551802,8.0,-0.04787331151857099,0.4752727906938714
EndothelialDysfunctionIndex,MOCA_to_Metric,Mann-Whitney,0.05096790192648595,0.25851559302135996,ns,,,,,,,False,True,49.0,0.7855966914317173,0.15454642261833337,8.0,0.6146615233685232,0.24249844714739316
VasomotionRegularity,MOCA_to_Metric,t-test,0.8937750643149787,0.05115396198248019,ns,,,,,,,True,True,49.0,0.016705370452981143,0.2029928804087954,8.0,0.0067911779859433224,0.11215556174206935
EstimatedCCP,MOCA_to_Metric,Mann-Whitney,0.970449838729528,0.004995026170608251,ns,,,,,,,False,True,48.0,-0.6101903155871188,13.043831604210109,7.0,-1.269047275260768,3.8613774997234445
EstimatedRAP,MOCA_to_Metric,Mann-Whitney,0.7267392681353779,0.04628794193215917,ns,,,,,,,False,True,49.0,0.2344532545487664,1.704546046195235,8.0,-0.1762685002040269,1.0816712278215463
FractalDim_SE,MOCA_to_Metric,Mann-Whitney,0.6931066065127636,0.052271700672862305,ns,,,,,,,False,True,49.0,0.9116438755914439,0.09996893087082788,8.0,0.8857752121145535,0.14258720183201232
FractalDim_rSO2,MOCA_to_Metric,t-test,0.23467928307818123,0.46057401486216804,ns,,,,,,,True,True,46.0,0.74316812268732,0.1004363354384276,8.0,0.6992393317611896,0.05224938012886759
SE_Power_Endothelial,MOCA_to_Metric,Mann-Whitney,0.9371487328844652,0.010444470620889332,ns,,,,,,,False,True,49.0,5.753112284593791,7.402355195583665,8.0,5.800470001403746,5.785559135425917
rSO2_Power_Endothelial,MOCA_to_Metric,Mann-Whitney,0.023023725370825084,0.30107160005771355,*,,,,,,,False,True,49.0,0.5666811002612413,0.6783549783974513,8.0,1.5632049482906651,1.3807819912381607
PowerRatio_Endothelial,MOCA_to_Metric,Mann-Whitney,0.10119145051325669,0.21710472491543842,ns,,,,,,,False,True,49.0,25.089601663792866,39.4815294150963,8.0,5.589725228793526,4.381815604348122
SpectralCentroid_SE_Endothelial,MOCA_to_Metric,Mann-Whitney,0.490693997389482,0.09128748986562667,ns,,,,,,,False,True,49.0,0.011013455063618621,0.002047956040579307,8.0,0.010659327013216762,0.002125646074879232
SpectralCentroid_rSO2_Endothelial,MOCA_to_Metric,t-test,0.9300199310339509,0.03364154596151864,ns,,,,,,,True,True,49.0,0.008995612425348149,0.0023752433749193906,8.0,0.008917565609487775,0.0018979158551993204
Bandwidth_SE_Endothelial,MOCA_to_Metric,Mann-Whitney,0.2913916305259258,0.13974792221603746,ns,,,,,,,False,True,49.0,0.004355386905401088,0.0007487170978877346,8.0,0.004547865887698725,0.00021284305687100505
Bandwidth_rSO2_Endothelial,MOCA_to_Metric,Mann-Whitney,0.4764975031415829,0.09429970373300241,ns,,,,,,,False,True,49.0,0.0042744416836066855,0.0007407957833625418,8.0,0.004242839557437112,0.00035588276922330665
Rolloff_SE_Endothelial,MOCA_to_Metric,Mann-Whitney,0.8978197069302675,0.01700912524292954,ns,,,,,,,False,True,49.0,0.018231823979591836,0.001961874534737382,8.0,0.018505859375000003,0.0007795041877622209
Rolloff_rSO2_Endothelial,MOCA_to_Metric,Mann-Whitney,0.6187864334914523,0.06590489169713601,ns,,,,,,,False,True,49.0,0.01683673469387755,0.002442375976629965,8.0,0.017041015625,0.001179984958358845
SE_to_rSO2_Causality_Endothelial,MOCA_to_Metric,Mann-Whitney,0.7625700891626068,0.044543325814661174,ns,,,,,,,False,True,40.0,0.12952566680601846,0.22710910501789003,6.0,0.12265374421636242,0.15398516340928753
rSO2_to_SE_Causality_Endothelial,MOCA_to_Metric,Mann-Whitney,0.24494393864785244,0.17528633281631534,ns,,,,,,,False,True,38.0,0.1585736467201925,0.20377688385148443,6.0,0.33591008314316984,0.33694915876789194
Bidirectional_Causality_Endothelial,MOCA_to_Metric,Mann-Whitney,0.305254586593214,0.15455926647713294,ns,,,,,,,False,True,38.0,0.13001667226288743,0.18346932167629185,6.0,0.22928191367976591,0.2315025808775728
HRx,MOCA_to_Metric,t-test,0.04364095287509554,0.7874683012291829,*,,,,,,,True,True,49.0,0.12396879274335017,0.32499983399734605,8.0,-0.137885773371198,0.3801486316775791
TOHRx,MOCA_to_Metric,Mann-Whitney,0.4352373103678671,0.10334808361588063,ns,,,,,,,False,True,49.0,0.03704872264375695,0.30730380360105203,8.0,-0.061205187555569654,0.31277493605220147
Hurst_SE,MOCA_to_Metric,Mann-Whitney,0.490693997389482,0.09128748986562667,ns,,,,,,,False,True,49.0,0.8401686745026316,0.1171807970378485,8.0,0.8815453708062883,0.1296358624413347
Hurst_rSO2,MOCA_to_Metric,Mann-Whitney,0.34709708246246607,0.1245371551657898,ns,,,,,,,False,True,49.0,0.9349880005215206,0.07278706989187005,8.0,0.9576798842886175,0.05712854595526528
Lx_Endothelial,MOCA_to_Metric,Mann-Whitney,0.04286316276035301,0.26822322207700616,*,,,,,,,False,True,49.0,0.2647803097975319,0.5275026175305547,8.0,0.6868098534376175,0.2442705961126241
SE_MSE,MOCA_to_Metric,Mann-Whitney,0.23262804199541157,0.15809835903856118,ns,,,,,,,False,True,49.0,0.06169839271527842,0.027826290930083233,8.0,0.04772479202216083,0.016039856609617372
rSO2_MSE,MOCA_to_Metric,Mann-Whitney,0.8657991920565671,0.022384167321242376,ns,,,,,,,False,True,49.0,0.06151461744014812,0.0289483480387176,8.0,0.060933222627881235,0.03087351539403418
ComplexityIndex,MOCA_to_Metric,t-test,0.5156659200268098,0.2494881540851786,ns,,,,,,,True,True,49.0,10.626713001316919,4.128564299665973,8.0,9.623802176315142,3.175891335935701
MutualInformation,MOCA_to_Metric,Mann-Whitney,0.6600458436056311,0.05825953885885379,ns,,,,,,,False,False,49.0,0.6382297056621382,0.223342261118669,8.0,0.6519861560030085,0.16079767573078924
Mx,MOCA_to_Metric,t-test,0.17986690877930564,0.518009889567439,ns,,,,,,,True,True,49.0,0.037130598435095585,0.3020345313340811,8.0,-0.1193977956449528,0.30311764612779823
NormalizedMutualInformation,MOCA_to_Metric,Mann-Whitney,0.27082702630106104,0.1458522053268029,ns,,,,,,,False,True,49.0,0.2847818494945345,0.14228468460367297,8.0,0.31054165442402226,0.12552863152779067
COx_TemporalVariability,MOCA_to_Metric,Mann-Whitney,0.34709708246246607,0.1245371551657898,ns,,,,,,,False,True,49.0,0.587854190317871,0.1636432440036936,8.0,0.627801885446313,0.16053885184764086
PRx,MOCA_to_Metric,t-test,0.269103099943643,0.4257117321271834,ns,,,,,,,True,True,49.0,0.029749124604999105,0.34412732819478065,8.0,-0.11396367623729502,0.2887338513083797
AutoregulationRange,MOCA_to_Metric,Mann-Whitney,0.7098548259597388,0.049279368050044126,ns,,,,,,,False,True,49.0,14.856570702487554,8.038335645126761,8.0,13.56448147061179,7.295829045858549
FRx,MOCA_to_Metric,Mann-Whitney,0.6437469178190016,0.06125516634297117,ns,,,,,,,False,True,49.0,-0.09191001224759314,0.2938342908661846,8.0,-0.10417478094075001,0.24737418873895903
SurrogatePValue,MOCA_to_Metric,Mann-Whitney,0.2486177619949863,0.15281304911915852,ns,,,,,,,False,False,49.0,0.2530612244897959,0.27611293041097523,8.0,0.185,0.3298051372726456
SurrogateSignificance,MOCA_to_Metric,Mann-Whitney,0.1412758198327672,0.19484620210904977,ns,,,,,,,False,False,49.0,0.3469387755102041,0.48092880658867043,8.0,0.625,0.5175491695067657
Sx,MOCA_to_Metric,t-test,0.5575687068128847,0.22500320021964415,ns,,,,,,,True,True,49.0,0.010921595087229926,0.4633973521259699,8.0,0.12023002959647527,0.6179638891804179
PhaseDiff_Endothelial,MOCA_to_Metric,Mann-Whitney,0.1536832101701545,0.18896330378796064,ns,,,,,,,False,True,49.0,-0.132363570083839,0.5218804630434221,8.0,0.20813288703809746,0.5235893093352634
AmplitudeCorr_Endothelial,MOCA_to_Metric,t-test,0.20452036585963146,0.48962509206436033,ns,,,,,,,True,True,49.0,0.277469560605805,0.3493218421216745,8.0,0.4455743311361155,0.2990589546521004
PhaseAmpCoupling_Endothelial,MOCA_to_Metric,Mann-Whitney,0.07866756916584593,0.23291504339062793,ns,,,,,,,False,False,49.0,0.02592266120142674,0.019335927389822753,8.0,0.038438983093975546,0.02565849286385295
TransferGain_Endothelial,MOCA_to_Metric,Mann-Whitney,0.260912290021467,0.14890889293174173,ns,,,,,,,False,True,49.0,0.4119708231020292,0.3009930308820459,8.0,0.46443945096923556,0.19630487579912173
TransferPhase_Endothelial,MOCA_to_Metric,t-test,0.0028725048487446415,1.1900186152857404,**,,,,,,,True,True,49.0,24.014976456235587,73.28611751296931,8.0,-60.979104949598586,57.02549439745612
TransferCoherence_Endothelial,MOCA_to_Metric,Mann-Whitney,0.23262804199541157,0.15809835903856118,ns,,,,,,,False,False,49.0,0.18093297748690362,0.17415276467397772,8.0,0.24674717082548553,0.20682117817789047
TransferPhaseLead_Endothelial,MOCA_to_Metric,Mann-Whitney,0.021517725009280977,0.3044801732029323,*,,,,,,,False,False,49.0,0.6080705009276438,0.40805135732567516,8.0,0.24147727272727276,0.3678605099512342
TransferGainVariability_Endothelial,MOCA_to_Metric,Mann-Whitney,0.6437469178190016,0.06125516634297117,ns,,,,,,,False,True,49.0,0.16686896498887557,0.1330155667924915,8.0,0.15435288967539773,0.07889851514081567
TransferPhaseVariability_Endothelial,MOCA_to_Metric,Mann-Whitney,0.5051062030418302,0.08827704698728808,ns,,,,,,,False,False,49.0,53.72225923458505,40.54598739592274,8.0,69.72154937112496,51.62049161667886
WaveletCoherence_Endothelial,MOCA_to_Metric,Mann-Whitney,0.12251079411077073,0.20455020047797876,ns,,,,,,,False,True,49.0,0.3286949771702993,0.17271637173912993,8.0,0.4263554244555037,0.19028839062606603
WaveletPhase_Endothelial,MOCA_to_Metric,t-test,0.5674916980705536,0.21934345379308712,ns,,,,,,,True,True,49.0,-10.439333482912565,40.9648426121655,8.0,-1.572255486631418,36.513528856726
PLV_Endothelial,MOCA_to_Metric,t-test,0.0004392331051779581,1.4265028121588805,***,,,,,,,True,True,49.0,0.3959750493931033,0.1724682688098545,8.0,0.6359620965057069,0.13569018277256137
PPC_Endothelial,MOCA_to_Metric,Mann-Whitney,0.0008931734149328636,0.4400333721158254,***,,,,,,,False,True,49.0,0.1856877351805393,0.1379956112073189,8.0,0.42038249401169725,0.17372320577639794
wPLI_Endothelial,MOCA_to_Metric,t-test,0.18539863189290506,0.5113958059136907,ns,,,,,,,True,True,49.0,0.5061818495124905,0.28384688798032764,8.0,0.648511898396356,0.23694449712841745
COx_SingleHemisphere_LF,MOCA_to_Metric,t-test,0.0616003499264552,0.7276143825615855,ns,,,,,,,True,True,49.0,0.21511203722295613,0.37328919420730017,8.0,-0.055252450248420376,0.35961355481759766
COx_Window_SE_rSO2_LF,MOCA_to_Metric,t-test,0.5729444587049514,0.2162541536348414,ns,,,,,,,True,True,49.0,0.03404029798293208,0.15161273601487985,8.0,-0.0038407451898977048,0.28891009500289716
XCorr_MaxCorr_LF,MOCA_to_Metric,Mann-Whitney,0.3020422743070095,0.13670017743605245,ns,,,,,,,True,False,49.0,0.269798507738171,0.07717968070924155,8.0,0.33076607082556186,0.155554269949955
XCorr_OptimalLag_LF,MOCA_to_Metric,t-test,0.8300423622752893,0.08753121477677543,ns,,,,,,,True,True,46.0,4.304347826086956,20.347939633854708,7.0,2.5714285714285716,15.04279609267221
XCorr_Asymmetry_LF,MOCA_to_Metric,Mann-Whitney,0.1405862168803929,0.195184614475743,ns,,,,,,,False,True,49.0,0.0004901780577784364,0.03498394310823382,8.0,0.0220839977687712,0.02727488702783249
XCorr_Width_LF,MOCA_to_Metric,t-test,0.7115191545086972,0.14175122680924393,ns,,,,,,,True,True,49.0,21.714285714285715,10.503967504392486,8.0,23.25,12.870231433150577
SE_Power_LF,MOCA_to_Metric,Mann-Whitney,0.9550841856747576,0.007460215286020231,ns,,,,,,,False,True,49.0,1.8584093685455085,2.5066208308196454,8.0,1.6577045144120937,1.6382425249337593
rSO2_Power_LF,MOCA_to_Metric,Mann-Whitney,0.260912290021467,0.14890889293174173,ns,,,,,,,False,True,49.0,0.04968494346576542,0.07614558147730233,8.0,0.10756088962236254,0.1133848476576065
PowerRatio_LF,MOCA_to_Metric,Mann-Whitney,0.4352373103678671,0.10334808361588063,ns,,,,,,,False,False,49.0,69.45768625423003,85.7796387772983,8.0,53.65535610637207,83.73424583290216
SpectralCentroid_SE_LF,MOCA_to_Metric,t-test,0.8761839068133783,0.05969088410367496,ns,,,,,,,True,True,49.0,0.1133336214210156,0.014890943974868136,8.0,0.11244227059334136,0.015216555705196632
SpectralCentroid_rSO2_LF,MOCA_to_Metric,t-test,0.24874172657900984,0.44453291808400724,ns,,,,,,,True,True,49.0,0.10608331472072122,0.012011988455951713,8.0,0.10074413442400319,0.012002370156023436
Bandwidth_SE_LF,MOCA_to_Metric,Mann-Whitney,0.7098548259597388,0.049279368050044126,ns,,,,,,,False,True,49.0,0.030620758843072058,0.006725848233259071,8.0,0.031090714106912075,0.00785482401707667
Bandwidth_rSO2_LF,MOCA_to_Metric,t-test,0.43996181742642093,0.2966319317641236,ns,,,,,,,True,True,49.0,0.02912689260053817,0.006016201889678263,8.0,0.027238231692299365,0.008386177004263336
Rolloff_SE_LF,MOCA_to_Metric,Mann-Whitney,0.7559086477947594,0.04117413522357256,ns,,,,,,,False,False,49.0,0.1719547193877551,0.02257021362548336,8.0,0.1708984375,0.027601622046911224
Rolloff_rSO2_LF,MOCA_to_Metric,Mann-Whitney,0.3339118661225623,0.12798485399031162,ns,,,,,,,False,True,49.0,0.16485969387755103,0.01964452166750216,8.0,0.155517578125,0.02718259068655445
SE_to_rSO2_Causality_LF,MOCA_to_Metric,Mann-Whitney,0.6812462942908607,0.05696258523225812,ns,,,,,,,False,False,44.0,0.11724241248362476,0.20559890763221889,8.0,0.13777342262272413,0.1721277349163848
rSO2_to_SE_Causality_LF,MOCA_to_Metric,Mann-Whitney,0.13595376720605298,0.21300420491971014,ns,,,,,,,False,True,42.0,0.10507839260627405,0.17476939243747502,7.0,0.23750455557911648,0.24053505883536597
Bidirectional_Causality_LF,MOCA_to_Metric,Mann-Whitney,0.09330413120357832,0.23733616843773622,ns,,,,,,,False,True,42.0,0.10023357583638932,0.1520999871174798,8.0,0.25046175552429206,0.2729451832876626
Lx_LF,MOCA_to_Metric,Mann-Whitney,0.182504568966395,0.17657115623703784,ns,,,,,,,False,True,49.0,0.24521305259516704,0.5355877043863839,8.0,0.5390363836622748,0.3254250902652546
PhaseDiff_LF,MOCA_to_Metric,t-test,0.0634248823640448,0.7224078521263919,ns,,,,,,,True,True,49.0,-0.05862535516220398,0.21227476520843372,8.0,0.1041782456007955,0.300105963468492
AmplitudeCorr_LF,MOCA_to_Metric,Mann-Whitney,0.20650812292380138,0.1673183153039237,ns,,,,,,,False,True,49.0,0.1883438619167882,0.3519310773788648,8.0,0.3428410362867517,0.2830455202200449
TransferGain_LF,MOCA_to_Metric,Mann-Whitney,0.9730418593226001,0.004476051762355817,ns,,,,,,,False,True,49.0,0.47096898294506456,0.2499606535379068,8.0,0.4468063050364319,0.19230732161205175
TransferPhase_LF,MOCA_to_Metric,t-test,0.46329134120249227,0.2816453539879702,ns,,,,,,,True,True,49.0,5.176043118492344,36.613385302375775,8.0,-4.72975308740675,22.95863050092513
TransferCoherence_LF,MOCA_to_Metric,Mann-Whitney,0.1470279090140063,0.19207173214223616,ns,,,,,,,False,True,49.0,0.3573790084409326,0.18005150759709887,8.0,0.39296713009364526,0.08904257107801468
TransferPhaseLead_LF,MOCA_to_Metric,t-test,0.3032728487116076,0.3962604861413879,ns,,,,,,,True,True,49.0,0.511117879987816,0.1846802744796599,8.0,0.43843283582089554,0.1745945152547042
TransferGainVariability_LF,MOCA_to_Metric,Mann-Whitney,0.08282699440827836,0.2297419389908374,ns,,,,,,,False,True,49.0,0.2681595782967135,0.11738690845040421,8.0,0.19533763233444165,0.06748772651975428
TransferPhaseVariability_LF,MOCA_to_Metric,Mann-Whitney,0.6276114259010458,0.06425194165960318,ns,,,,,,,False,True,49.0,93.89829433397574,21.619498310071176,8.0,87.50713493245392,34.851513155354276
PhaseMargin_LF,MOCA_to_Metric,t-test,0.4632913412024856,0.2816453539879744,ns,,,,,,,True,True,49.0,185.17604311849234,36.61338530237576,8.0,175.2702469125931,22.958630500925036
GainMargin_LF,MOCA_to_Metric,t-test,0.8098518782401034,0.09219556907728327,ns,,,,,,,True,True,49.0,7.419498698105023,3.855461791639035,8.0,7.777240224731926,4.0461103767842275
